Park Name,Address,lat,lng
Firehouse Mini Park,"712 18th Ave, Seattle, WA 98122, USA",47.6082735,-122.3089223
First Hill Park,"1201 University St, Seattle, WA 98101, USA",47.6119405,-122.3259694
Fletcher Place,"9285 Waters Ave S, Seattle, WA 98118, USA",47.5189254,-122.2611246
Flo Ware Park,"2800 S Jackson St, Seattle, WA 98144, USA",47.59922299999999,-122.2955131
Freeway Park - Jim Ellis Freeway Park,"700 Seneca St, Seattle, WA 98101, USA",47.6093239,-122.3308069
Fremont Canal Park,"199 N Canal St, Seattle, WA 98103, USA",47.6506222,-122.3549224
Fremont Peak Park,"4357 Palatine Ave N, Seattle, WA 98103, USA",47.661188,-122.356446
Frink Park,"398 Lake Washington Blvd S, Seattle, WA 98144, USA",47.5991316,-122.2886144
Froula Playground,"7200 12th Ave NE, Seattle, WA 98115, USA",47.681601,-122.313597
Garfield Playfield,"537 25th Ave, Seattle, WA 98122, USA",47.60515969999999,-122.3006175
Gas Works Park,"2101 N Northlake Way, Seattle, WA 98103, USA",47.6462297,-122.3336997
Genesee Park and Playfield,"4316 S Genesee St, Seattle, WA 98118, USA",47.5639075,-122.2789662
Georgetown Playfield,"750 S Homer St, Seattle, WA 98108, USA",47.5515116,-122.3230592
Gerber Park,"575 Martin Luther King Jr Way S, Seattle, WA 98144, USA",47.5968287,-122.2974902
Gilman Playground,"923 NW 54th St, Seattle, WA 98107, USA",47.6678789,-122.3688575
Golden Gardens Park,"8498 Seaview Pl NW, Seattle, WA 98117, USA",47.691767,-122.4039401
Grand Army of the Republic Cemetery,"1200 E Howe St, Seattle, WA 98102, USA",47.6360707,-122.3173228
Green Lake Park,"7201 East Green Lake Dr N, Seattle, WA 98115, USA",47.6802132,-122.3283188
Greenwood Park,"602 N 87th St, Seattle, WA 98103, USA",47.6928764,-122.3507522
Greenwood Triangle,"304 NW 55th St, Seattle, WA 98107, USA",47.6687075,-122.360934
Greg Davis Park,"2600 SW Brandon St, Seattle, WA 98106, USA",47.553774,-122.3661362
Hamilton Viewpoint Park,"1120 California Ave SW, Seattle, WA 98116, USA",47.5937278,-122.3869841
Harborview Park,"779 Alder St, Seattle, WA 98104, USA",47.6030296,-122.3236985
Harrison Ridge Greenbelt,"138 32nd Ave E, Seattle, WA 98112, USA",47.619741,-122.2911928
Harvard-Miller/Roanoke Annex,"2351 Broadway E, Seattle, WA 98102, USA",47.6409569,-122.3213831
Herring's House Park (Tualtwx),"4570 W Marginal Way SW, Seattle, WA 98106, USA",47.562397,-122.3520405
Hiawatha Playfield,"2700 California Ave SW, Seattle, WA 98116, USA",47.5781517,-122.3844165
Highland Drive Parkway,"165 Highland Dr, Seattle, WA 98109, USA",47.6297436,-122.3533266
Highland Park Playground,"1100 SW Cloverdale St, Seattle, WA 98106, USA",47.5274782,-122.3487433
Highland Place,"93 Highland Dr, Seattle, WA 98109, USA",47.6297758,-122.3554273
Hing Hay Park,"423 Maynard Ave S, Seattle, WA 98104, USA",47.5988344,-122.3250761
Hitt's Hill Park,"5234 37th Ave S, Seattle, WA 98118, USA",47.5539761,-122.2860842
